society,pop_res1,pol_cent,commsize_scale,ext_hier,PC1,agr_ins,agr,mil_org,sac_scale,Region,sacrifice_description,sac.source
Pashtun,5,2,4,2,0.36975124,6,1.637732944,0,4,Middle Asia,"“In 1897, Swat rose under the leadership of Sadullah and besieged the well-fortified British garrisons. “Before Malakand and Chakdara the tribesmen were religious maniacs for eight days and advanced with a bravery which fully entitled those who fell to any reward which such a death may bring” (Neville 1911:249). Almost 4,000 Pukhtun were killed in these futile assaults in the greatest pitched battle ever fought by the British on the Frontier (41) ...The ideal form of the patrilineal segmentary lineage system unites groups and individuals through descent from a common male ancestor. Those who share an ancestor are obliged, by the tie of blood, to defend one another against outsiders or more distant relatives. In theory, coalitions in opposition can unite thousands, or even millions, of putative lineal relatives in warfare against intruders, as the British, French and, more recently, Soviet colonialists have discovered” (Lindholm 1982: 56)","Lindholm, Charles. Generosity and Jealousy: The Swat Pukhtun of Northern Pakistan. Columbia University Press, 1982. https://ehrafworldcultures.yale.edu/document?id=au04-003."
Pawnee,3.5,3,3,1,-0.335795864,3,-0.132075237,1,4,Central North America,"""It was but natural that the Pawnees should have been successful in this defense of their village, for in such fights they felt that they must conquer. Defeat to them there meant the loss of all that they possessed, the slaughter of their women and children, and the destruction of their village. Besides, if defeated, they had no place to retreat to. They would fight to the death.” (Grinnell 1889: 317)","Grinnell, George Bird. 1889. Pawnee Hero Stories and Folk-Tales, with Notes on the Origin, Customs and Character of the Pawnee People. New York: Forest and Stream Publishing Company. https://ehrafworldcultures.yale.edu/document?id=nq18-020"
PgOrokE,4,2,1,0,-1.441532302,3,-0.132075237,0,4,Oceania,"""It is certain, however, that when armed with their shields the Orokaiva will fight man to man with the greatest skill and address, and, I am prepared to believe, with the greatest daring. Even the way in which they deal with the perils of their environment should be sufficient to refute any suspicion of cowardice; and any fear they may have had of the white intruder is surely excused by the facts that the white man was to them nothing short of a supernatural marvel and that he possessed irresistible means of killing"" (163) “It is answered simply that all the able-bodied who should take part will take part; nor can I recall any concrete case of a man deliberately shirking his duty in any major enterprise of the group. This willingness to co-operate or assist is a sufficiently striking native trait which we may call simply helpfulness. It is seen most strongly perhaps in war or in minor quarrels, where the native is always too ready to take up the cudgels in behalf of his people or his friend: it is the active aspect of clannishness. One of the reasons why a village is sometimes almost depleted of its young men because they all elect to ‘sign-on’ for labour in a batch is simply this desire to stand by one another. ‘What will happen to our brother’, they say, ‘when he is set upon by a mob of stalwart Kiwais, if we are not there to help him?’ But in all the incidents of daily life the same spirit of helpfulness is apparent: a man is lost, and there is a great turn-out to find him; if he is ill or in distress he is never neglected; if he cries ‘Help!’ there is an excited [Page 319] rushing to the scene. On the whole we may say that the Orokaiva seldom fails in this duty of helping the members of his group.” (318) (Williams 1930)","Williams, F. E. (Francis Edgar), and Hubert Murray. 1930. Orokaiva Society. London: Oxford University Press. https://ehrafworldcultures.yale.edu/document?id=oj23-001"
Samoans,4,3,4,2,0.464993236,4,0.457860823,0,2,Oceania,"""...Rather hold by war, in which is [Page 243] glory and honourable death.”’ Such being the sentiments of the old Samoan, no wonder that their descendants were addicted to war and bloodshed, and that death on the battle-field should be accounted to be ‘honourable and glorious.’” (Stair 1987: 242)","Stair, John B. 1897. Old Samoa: Or Flotsam and Jetsam from the Pacific Ocean. London: The Religious Tract Society. https://ehrafworldcultures.yale.edu/document?id=ou08-017."
Saramaka,4,3,2,2,0.045582553,3,-0.132075237,0,4,Northern South America,"“It was common for Saramakas to send spies to be deliberately captured by the whites, in order to reveal information under “interrogation” (and often just before being executed)"" (39) “But there was one final group whose presence weighed heavily on the celebrants that night: those men and women who did not live to see the Peace, but upon [Page 181] whose sacrifices and heroism it was built.” (Price 1983: 180)","Price, Richard. 1983. “First-Time: The Historical Vision of an Afro-American People.” In Johns Hopkins Studies in Atlantic History and Culture, 189. Baltimore: Johns Hopkins University Press. https://ehrafworldcultures.yale.edu/document?id=sr15-004"
Seminole,3.5,2,1,1,-1.20810149,4,0.457860823,0,4,Central North America,"""... fierce determination to rule their own land or die in the attempt. No person who fought against them and became thoroughly acquainted with their qualities, from the time of the first Spanish invasions to the end of the Seminole wars, ever doubted their courage...Experienced army officers, long in conflict with the Seminoles, declared that their warriors never surrendered."" (McReynolds 1957: 20). population and integration coded based on eHRAF culture summary","McReynolds, Edwin C. 1957. “The Seminoles.” In Civilization of the American Indian Series, v. 4:xv, 397. Norman: University of Oklahoma Press. https://ehrafworldcultures.yale.edu/document?id=nn16-009"
Senussi (Libyan Bedouin),5,4,3,2,1.065835784,2,-0.722011298,0,4,Northern Africa,"""The war against the Sanusiya also became transformed slowly into a simple struggle of the Bedouin for survival, for their lands and their freedom to live their ancient way of life; and in this struggle they felt themselves, in spite of all their cleavages and feuds, to be at one against the intruder. Beneath the surface of political expressions the issue was the same in both wars: whether the Italians could deprive the Bedouin of their lands and colonize them...in fighting for their lands and herds the Bedouin were fortified by the knowledge that they fought also for their faith. Without due appreciation of the religious feelings involved in the resistance it would, I think, be impossible to understand how it went on for so long against such overwhelming odds or how the tribes, with a long history of feuds dividing them, co-operated as much as they did under Sanusiya guidance.” (Evans-Pritchard 1949: 166)","Evans-Pritchard, Edward Evan. 1949. The Sanusi of Cyrenaica. Oxford: At the Clarendon Press. https://ehrafworldcultures.yale.edu/document?id=mt09-003"
Shluh,5,3,5,1,0.620094239,6,1.637732944,0,4,Northwest Africa,"“A leff then was like a kind of nation with capricious frontiers, whose borders extended to an indefinite distance, and one still saw, it is said, at the beginning of the nineteenth century, warriors of the Jbel Kik take up arms in order to go to support combats in the mountains of the Seksawa. If the spirit of solidarity of the fractions has diminished since the progress of the Makhzen /makhzan/, it has nevertheless still remained very much alive: Si el Madani Glawi could still say a few years ago to explain what a leff was, “In case of war, we see arrive among us people whom we do not know and who come to get themselves killed for us” (Montagne 1930: 243)","Montagne, Robert, and Jean Winchell. 1930. The Berbers and the Makhzen in the South of Morocco: Essay on the Political Transformation of the Sedentary Berbers (the Chleuh Group). Paris: Librarie Félix Alcan. https://ehrafworldcultures.yale.edu/document?id=mw11-002 "
Somali,6,3,0,2,0.341477763,2,-0.722011298,0,3,Eastern Africa,"""7. We should not abandon our wounded on the battlefield. We should rather fight tenaciously to rescue them and evacuate them to safety."" (Alasow 2010: 114)","Alasow, Omar Abdulle. Violations of the Rules Applicable in Non-International Armed Conflicts and Their Possible Causes: The Case of Somalia. Brill | Nijhoff, 2010. https://doi.org/10.1163/ej.9789004164758.i-364. "
SyCalUm,7,5,7,4,3.897372557,6,1.637732944,1,4,Western Asia,"""He died while on the course of a raid and was, according to some sources, buried in Tyre in 161/777f…According to the hagiography, then, he died as he had lived: bow in hand, ritually pure, ready to do battle for the Faith with his last breath. We begin to obtain, then, a profile of a leading volunteer holy warrior of the late Umayyad/early _Abb_sid period: devout, ascetic, hailing from Eastern Iran, transmitting _ad_th, and uncompromisingly devoted to the battle against the Infidel, particularly the Christian one, free of any governmental oversight” (Tor 2007: 45-48). “There was one additional and most salient religious feature of the muta_awwi_a, though, which was not present among the proto-Sunna in general: an unwavering commitment to what they viewed as one’s personal obligation to engage in warfare for the faith, irrespective of the directives of the caliph or the government. In this respect, one can classify these people as a very specific and militant subset of the proto-Sunna; their hallmark activity was pursuing the Jihad while keeping themselves free of worldly encumbrances and ties with those whom they considered to be impure – first and foremost, the government.” (Tor 2007: 45). “The exhortations of the Friday sermon to self-sacrifice in God's path were paralleled on the battlefield by the qussas* and qurra'*. Their role was to encourage the troops to seek the reward of paradise by either winning or else dying as martyrs, and they recited Qur'anic* verses to that effect in a loud voice” (Blankinship 1994: 16)","Blankinship, Khalid Yahya. The End of the Jiha_d State: The Reign of Hish__m Ibn _Abd al-Malik and the Collapse of the Umayyads. SUNY Series in Medieval Middle East History. Albany: State University of New York Press, 1994. ; Tor, D.G. Violent Order: Religious Warfare, Chivalry, and the _Ayy__r Phenomenon in the Medieval Islamic World. E-Book. Würzburg: Ergon-Verlag GmbH, 2016.f"
Tlingit,4,2,3,0,-1.022121619,1,-1.311947358,0,4,Northwest America,"""a man, especially if he were an aristocrat, would prefer death to capture, and a brave chief...would welcome death if all his people had been killed."" (De Laguna 1972: 584b). ""Among the Tlingit there was no giving in, no asking of quarter. During the fighting if one of the attackers came on an unarmed person, say a woman or child, he challenged him, asking what clan the person belonged to. The threatened one would never deny his clan, even though to admit membership in the belligerent clan meant immediate death or capture.” (Olsen 1967: 70)","De Laguna, Frederica. “Under Mount Saint Elias: The History and Culture of the Yakutat Tlingit,” Smithsonian contributions to anthropology, 7 (1972). https://ehrafworldcultures.yale.edu/document?id=na12-020. ; Olson, Ronald L. (Ronald LeRoy). “Social Structure and Social Life of the Tlingit in Alaska,” Anthropological records, 26 (1967). https://ehrafworldcultures.yale.edu/document?id=na12-019."
Toba,4,2,3,1,-0.609864334,4,0.457860823,0,1,Southern South America,"""In their actions they exercize the greatest prudence, rarely fighting in a body, and trying to overthrow the enemy with as little loss of life to themselves as possible 2 ). This, I believe, holds true of all South American Indians, at any rate of the Tobas. Espionage, treachery, assassination, and sudden attacks, nearly always by night, play the main part in their feuds."" (Karsten 1932: 106). ""Band life in the Gran Chaco was characterized by many conflicting tensions, with each individual warrior seeking a certain degree of autonomy, and yet at the same time it would be reasonable to assume that each man also desired to be part of a group. Additionally, each individual warrior no doubt had motivations based on self-interest, and yet it would also be reasonable to assume that each man would have had some concern for his fellow band members."" (Mendoza in Chacon & Dye 2007: 588)","Boehm, Christopher. Blood Revenge: The Enactment and Management of Conflict in Montenegro and Other Tribal Societies. 2nd pbk. ed. The University of Pennsylvania Press Publications in Ethnohistory. Philadelphia, PA: University of Pennsylvania Press, 1987. ; Karsten, Rafael. “The Head-Hunters of Western Amazonas: The Life and Culture of the Jibaro Indians of Eastern Ecuador and Peru,” Commentationes humanarum litterarum, 1935. https://ehrafworldcultures.yale.edu/document?id=sd09-001."
Tongans,4,3,6,2,0.884403919,4,0.457860823,1,2,Oceania,"""It was not unusual for a warrior to boast that he would kill the first foe that should be slain. This of course pledged him to rush foremost into the thick of the battle"" (Gifford 1929: 206). ""Tongan chiefs refused to use cannon fire against footsoldiers, for it was considered cowardly simply to mow down the enemy (Mariner 1827:1:165). There also were reservations about the use of firearms against Tongans. The European arms were unpredictable (Labilliardière 1800:342). Guns also reduced the prestigious man-to-man combat that kept fatalities relatively low and vanity high."" (Gailey 1987: 169)","Gailey, Christine Ward. 1987. “Kinship to Kingship: Gender Hierarchy and State Formation in the Tongan Islands.” In Texas Press Sourcebooks in Anthropology, xviii, 326. Austin, Tex.: University of Texas Press. https://ehrafworldcultures.yale.edu/document?id=ou09-113 ; Gifford, Edward Winslow. “Tongan Society,” Bulletin, 1929. https://ehrafworldcultures.yale.edu/cultures/ou09/documents/001 ; Mariner, William, and John Martin. 1818. An Account of the Natives of the Tonga Islands, in the South Pacific Ocean: With an Original Grammar and Vocabulary of Their Language. London: J. Murray. https://ehrafworldcultures.yale.edu/document?id=ou09-002"
Toradja,4,2,2,1,-0.819569675,3,-0.132075237,0,4,Southeast Asia,"""The second duty that rested on every man and every woman was to protect the village against the enemy so that he would not kill any member of the kin group. The men had to fulfill this obligation by going to war every now and then, defying the dangers and privations connected with such expeditions. The men were so impressed with this obligation, that even the most cowardly forced themselves to take part in such an expedition at least once in their life...Head-hunting promoted the welfare of the community in a positive sense, and therefore the brave men who often went out for it were honored, and they could be assured of occupying a good place in the community in the hereafter” (161) ""No matter how much rivalry might mutually exist among the Bare’e tribes, all the tribes felt united again when it was a matter of resisting a foreign enemy... When Tamoengkoe-dena, the village of the To Wingke-mposo, offered resistance to the soldiers, it was not only people from this tribe who defended the village, but also To Onda’e, To Lage, and To Pebato.” (165) ""When the enemy had penetrated into the village and there was hand-to-hand combat, some of the besieged, to be sure, inflamed in desperation and anger, fought bravely against the enemy and killed many. We were also told of many cases which showed personal courage."" (478) (Adriani & Kruyt 1950)","Adriani, Nicolaus, and Albertus Christiaan Kruijt. 1950. “The Bare’e-Speaking Toradja of Central Celebes (the East Toradja): First Volume.” In Verhandelingen, HRAF MS: 13, 714 [original: 12, 478 ]. Amsterdam: Noord-Hollandsche Uitgevers Maatschappij. https://ehrafworldcultures.yale.edu/document?id=og11-002"
Trobrianders,3,3,2,1,-0.724327679,3,-0.132075237,0,2,Oceania,"internal war among culturally homogenous people according to Malinowski; war as intergroup dueling, doesn't seem like it would inspire sense of group identity and loyalty that would encourage self-sacrifice. ""Warfare was, however, carried out with a considerable amount of fairness and loyalty, there being strict rules of conduct which were scrupulously observed...They never fought without warning, nor would they fight at night, and though complete victory--death of the enemies and the destruction of their village--was the ultimate aim of a war, the mere fact of fighting as a sport, and the glory derived from a display of daring and skill, were an important incitement to warfare.” (Malinowski 1920: 10)","Malinowski, Bronislaw. 1920. “War and Weapons among the Natives of the Trobriand Islands.” Man Vol. 20 (no. 5): 10–12. https://ehrafworldcultures.yale.edu/document?id=ol06-009"
TrOttm4,7,5,7,4,3.897372557,6,1.637732944,1,1,Europe,"“Deserters were mainly from the lower echelons of the army; however, in some rare cases the deserters were from among the high officers. Those who encouraged desertion or escaped with the army stuff were to face extra punishment. Ottoman archives host abundant materials about the stories of deserters with army weapons to rob merchants on highways, especially in the Balkans. Gyving, imprisonment and dismissal were decided as the case might suggest. In most of the cases, the deserters were subjected to forced labor in galleys” (Çek__ç 2016: 144). ""The mentioned “preference”, however, does not imply that the Turkish recruits, who lacked nationalistic ideals of the modern sense, the status of the Ottoman warrior caste of the classical age or good pay, adored being taken into the army. Soldiers continued to desert and able-bodied men ran away from their villages in large numbers when a recruitment party was near or, after Tanzimat reforms, they tried to avoid the drawing of lots. But it seems that the Turkish population just appeared to be less reactive and obedient to the military recruitment and service when compared to the Arabs, Kurds, Bosnians and Albanians. These non-Turkish Muslim peoples often revolted all together against the centralization efforts which sought to bring central authority, military recruitment and taxation.” (___m_ek 2005: 70)","Çekiç, Can Eyüp. “Hamidian Epic: War Literature in the Late Nineteenth Century Ottoman Empire.” Doctoral, Bilkent University, 2016. http://hdl.handle.net/11693/29124. ; __M_EK, VEYSEL. “OTTOMAN MILITARY RECRUITMENT AND THE RECRUIT: 1826-1853.” Master’s thesis, B_LKENT UNIVERSITY, 2005. http://repository.bilkent.edu.tr/bitstream/handle/11693/29736/0002992.pdf?sequence=1&isAllowed=y."
Tuareg,6,3,1,2,0.551183104,3,-0.132075237,0,2,Northern Africa,"“Although war was rather rare, raids were, on the contrary, quite frequent. They were caused by the atavistic taste of the Tuareg for this sort of expedition. For the occasion they gathered together the most disparate elements, all moved by the same spirit of adventure and battle....In spite of this martial deployment and the vigor of the attack, these combats were not very deadly, in general, and did not always cause deaths.” (Lhote 1944: 185)","Lhote, Henri, and Mary-Alice Sipfle. 1944. “The Hoggar Tuareg.” In Bibliothèque Scientifique, HRAF ms: viii, 190 [Original: 415 , 8 plates]. Paris: Payot. https://ehrafworldcultures.yale.edu/document?id=ms25-001."
Tupinamba,4,2,3,1,-0.609864334,4,0.457860823,0,4,Eastern South America,"""When one of their men is killed in combat, there is great mourning at the burial, and a long harangue to magnify his courage and valor. If a prisoner escaped to his own country, he would be held as a couäue eum, that is to say a coward, having no courage. Even his coutrymen would kill him and blame him for not having had the courage to face death among his enemies, as though his relatives and people were not sufficiently powerful to take revenge for his death… So, they prefer to be killed and eaten by their enemies than to run away as they could easily do, being free and unbound…."" (Claude 1614)","Claude, d, Alfred Métraux, and Margaret Coughlin. 1614. “History of the Mission of the Capuchin Fathers on the Isle of Maragnan and the Surrounding Lands.” In . Paris: Impr. de F. Huby. https://ehrafworldcultures.yale.edu/document?id=so09-006"
Turkana,5.5,1,6,0,-0.309421118,1,-1.311947358,0,4,Eastern Africa,"""Warriors risk serious injury and death. One percent of combatants are killed per raid and 50% of the males who survive to adulthood die in warfare. Fifty-four percent of the male deaths in warfare occurred when the Turkana launched raids against other groups; 46% occurred when Turkana settlements were attacked by other groups. "" (Zefferman & Mathew 2015)","Zefferman, Matthew R., and Sarah Mathew. “An Evolutionary Theory of Large-Scale Human Warfare: Group-Structured Cultural Selection.” Evolutionary Anthropology: Issues, News, and Reviews 24, no. 2 (March 4, 2015): 50–61. https://doi.org/10.1002/evan.21439."
UgBito,6,3,4,3,1.592556414,5,1.047796883,1,2,Eastern Africa,"""This assistance was normally forthcoming from all able-bodied men, mostly among the abairu (common people) who formed the fighting population. Men would arm themselves and make for the recruiting centres. Their enthusiasm tended to be fired by two main considerations — first, the desire to fight for their country and demonstrate their valour and second, the prospect of booty."" (Uzoigwe 1970).","Uzoigwe, G. N. 1970. “Revolution and Revolt in Bunyoro-Kitara: Two Studies.” In Makerere History Paper, 66. [Kampala] Uganda: Longman Uganda Ltd. https://ehrafworldcultures.yale.edu/document?id=fk11-015"
USIroqE,3.5,3,4,1,-0.126090523,3,-0.132075237,0,4,Northeast America,"""When the Indian went out upon the warpath, he prepared his mind for this very contingency, resolving to show the enemy, if captured, that his courage was equal to any trial, and above the power of death itself. The exhibitions of heroism and fortitude by the red man under the sufferings of martyrdom, almost surpass belief. They considered the character of their nation in their keeping, and the glory of the race as involved and illustrated in the manner of their death."" (Morgan 1901: 335). “THE BASIC IDEAL of manhood was that of “the good hunter.” Such a man was self-disciplined, autonomous, responsible. He was a patient and efficient huntsman, a generous provider to his family and nation, and a loyal and thoughtful friend and clansman. He was also a stern and ruthless warrior in avenging any injury done to those under his care. And he was always stoical and indifferent to privation, pain, and even death.” (Wallace 1969: 46)","Morgan, Lewis Henry, and Herbert M. Lloyd. 1901. League of the Ho-De’-No-Sau-Nee or Iroquois. Vol. I. New York: Dodd, Mead and Company. https://ehrafworldcultures.yale.edu/document?id=nm09-001 ; Wallace, Anthony F. C., and Sheila K. Steen. 1969. The Death and Rebirth of the Seneca. New York: Vintage Books, a division of Random House. https://ehrafworldcultures.yale.edu/document?id=nm09-041."
Yuki,3,2,1,0,-1.799185249,1,-1.311947358,0,2,Northwest America,"“The Yuki have long been considered the most warlike and ferocious of all California tribes, with the exception, possibly, of the Yuman peoples. Powers poetically describes them as constituting “a pure democracy, fierce and truculent.…and indisputably the worst tribe among the California Indians.” 29 Seen in the quiet of modern reservation life, it is hard to imagine this quality of the mild-appearing people one now finds. But the Yuki are intensely proud of their earlier fighting propensities and of the recognized terror they inspired in both neighboring Indian tribes and the early whites"" (Foster 1944: 188). ""There are no accounts of self-sacrifice, fighting against desperate odds, rescue by a relief force in the nick of time, and countless other elements which make up our own “historical” stories.” (Goldschmidt et al. 1939: 152)","Goldschmidt, Walter R., George McClelland Foster, and Frank Essene. 1939. “War Stories from Two Enemy Tribes.” Journal of American Folklore Vol. 52: 141–54. https://ehrafworldcultures.yale.edu/document?id=ns30-005"
Zulu,5,5,7,3,2.769809378,3,-0.132075237,1,4,Southern Africa,"“Still, the Zulus had not won their empire without displaying great bravery. Shaka had seen to that by rewarding his bravest warriors and killing the cowards, but we should keep in mind that there were cowards for Shaka to punish. A common term for a coward was isiboto (weakfooted person) referring to men who lagged behind. Not all Zulus were somehow born mindlessly brave, as the British imagined. The men of Zulu regiments had been taught all their lives to attack and, if necessary, to attack again. To fight a defensive battle was thought to be cowardly. When the British invaded, the royal regiments were ordered to attack"" (37). ""When it came time to examine the Zulu dead, expressions of admiration for Zulu courage began to emerge."" (129) (Edgerton 1988). Although Edgerton's analysis qualifies this somewhat, still overwhelmingly clear evidence for self-sacrificial behavior, even if it was not unwavering or universal","Edgerton, Robert B. 1988. Like Lions They Fought: The Zulu War and the Last Black Empire in South Africa. New York: Free Press_; Collier Macmillan Publishers. https://ehrafworldcultures.yale.edu/document?id=fx20-046"